[INFO] [1644574471.270390064] [usb_cam]: camera_name value: default_cam
[WARN] [1644574471.270653823] [usb_cam]: framerate: 10.000000
[INFO] [1644574471.277318101] [usb_cam]: using default calibration URL
[INFO] [1644574471.277466971] [usb_cam]: camera calibration URL: file:///home/ubuntu/.ros/camera_info/default_cam.yaml
[WARN] [1644574471.299147230] [camera_calibration_parsers]: Exception parsing YAML camera calibration:
yaml-cpp: error at line 177, column 65: illegal map value
[ERROR] [1644574471.299251378] [camera_calibration_parsers]: Failed to parse camera calibration from file [/home/ubuntu/.ros/camera_info/default_cam.yaml]
[WARN] [1644574471.299312989] [usb_cam]: Camera calibration file /home/ubuntu/.ros/camera_info/default_cam.yaml not found
[INFO] [1644574471.299421934] [usb_cam]: Starting 'default_cam' (/dev/video0) at 640x480 via mmap (yuyv) at 10 FPS
[INFO] [1644574471.788798792] [usb_cam]: Capability flag: 0x1000
[INFO] [1644574471.813607217] [usb_cam]: Set framerate to be 10
[INFO] [1644574471.826293439] [usb_cam]: This Cameras Supported Formats:
[INFO] [1644574471.826486828] [usb_cam]:   YUYV 4:2:2[Index: 0, Type: 1, Flags: 0, PixelFormat: 56595559]
[INFO] [1644574471.830874865] [usb_cam]:   1 1 / 20
[INFO] [1644574471.830926069] [usb_cam]:   1 1 / 15
[INFO] [1644574471.830974309] [usb_cam]:   1 1 / 10
[INFO] [1644574471.831021606] [usb_cam]:   1 1 / 5
[INFO] [1644574471.831072550] [usb_cam]:   width: 960 x height: 544
[INFO] [1644574471.831127958] [usb_cam]:   1 1 / 15
[INFO] [1644574471.831180402] [usb_cam]:   1 1 / 10
[INFO] [1644574471.831231272] [usb_cam]:   1 1 / 5
[INFO] [1644574471.831285550] [usb_cam]:   width: 960 x height: 720
[INFO] [1644574471.831338754] [usb_cam]:   1 1 / 10
[INFO] [1644574471.831389995] [usb_cam]:   1 1 / 5
[INFO] [1644574471.831465217] [usb_cam]:   width: 1024 x height: 576
[INFO] [1644574471.831533458] [usb_cam]:   1 1 / 10
[INFO] [1644574471.831585828] [usb_cam]:   1 1 / 5
[INFO] [1644574471.831640161] [usb_cam]:   width: 1184 x height: 656
[INFO] [1644574471.831692754] [usb_cam]:   1 1 / 10
[INFO] [1644574471.831744680] [usb_cam]:   1 1 / 5
[INFO] [1644574471.831798772] [usb_cam]:   width: 1280 x height: 720
[INFO] [1644574471.831852717] [usb_cam]:   1 2 / 15
[INFO] [1644574471.831903809] [usb_cam]:   1 1 / 5
[INFO] [1644574471.831958532] [usb_cam]:   width: 1280 x height: 960
[INFO] [1644574471.832011883] [usb_cam]:   1 2 / 15
[INFO] [1644574471.832063606] [usb_cam]:   1 1 / 5
[INFO] [1644574471.832127069] [usb_cam]:   Motion-JPEG[Index: 1, Type: 1, Flags: 1, PixelFormat: 47504a4d]
[INFO] [1644574471.832182754] [usb_cam]:   width: 640 x height: 480
[INFO] [1644574471.832235920] [usb_cam]:   1 1 / 30
[INFO] [1644574471.832287439] [usb_cam]:   1 1 / 25
[INFO] [1644574471.832338957] [usb_cam]:   1 1 / 20
[INFO] [1644574471.832389865] [usb_cam]:   1 1 / 15
[INFO] [1644574471.832441439] [usb_cam]:   1 1 / 10
[INFO] [1644574471.832492717] [usb_cam]:   1 1 / 5
[INFO] [1644574471.832547420] [usb_cam]:   width: 160 x height: 120
[INFO] [1644574471.832600976] [usb_cam]:   1 1 / 30
[INFO] [1644574471.832670032] [usb_cam]:   1 1 / 25
[INFO] [1644574471.832721439] [usb_cam]:   1 1 / 20
